date,actual_revenue,forecast_revenue,store,type
2012-05-04,504963.84,505359.9,29,backtest
2012-05-11,529707.87,526578.06,29,backtest
2012-05-18,543706.04,516960.72,29,backtest
2012-05-25,549665.67,528161.0,29,backtest
2012-06-01,576252.35,553430.5,29,backtest
2012-06-08,554093.15,517485.12,29,backtest
2012-06-15,552338.76,530314.5,29,backtest
2012-06-22,581854.5,551518.1,29,backtest
2012-06-29,555954.13,553382.9,29,backtest
2012-07-06,578832.41,523714.0,29,backtest
2012-07-13,514709.76,503106.84,29,backtest
2012-07-20,506705.36,501272.3,29,backtest
2012-07-27,475158.24,508791.28,29,backtest
2012-08-03,504754.74,497194.34,29,backtest
2012-08-10,518628.42,489647.94,29,backtest
2012-08-17,416881.66,500365.56,29,backtest
2012-08-24,615026.15,527216.4,29,backtest
2012-08-31,545844.91,560265.2,29,backtest
2012-09-07,540811.85,534362.75,29,backtest
2012-09-14,475127.18,483306.78,29,backtest
2012-09-21,489079.23,473987.3,29,backtest
2012-09-28,489674.23,477568.94,29,backtest
2012-10-05,520632.8,479073.2,29,backtest
2012-10-12,513737.0,491685.75,29,backtest
2012-10-19,516909.24,503061.38,29,backtest
2012-10-26,534970.68,511184.4,29,backtest
2012-11-04,,504321.03,29,future
2012-11-11,,508501.88,29,future
2012-11-18,,505682.9,29,future
2012-11-25,,861810.2,29,future
2012-12-02,,733247.7,29,future
2012-12-09,,676240.4,29,future
2012-12-16,,813806.5,29,future
2012-12-23,,946219.9,29,future
2012-12-30,,646065.75,29,future
2013-01-06,,482580.94,29,future
2013-01-13,,450305.78,29,future
2013-01-20,,462301.7,29,future
