date,actual_revenue,forecast_revenue,store,type
2012-05-04,1359770.73,1287787.5,41,backtest
2012-05-11,1353285.1,1316030.5,41,backtest
2012-05-18,1331514.44,1242610.4,41,backtest
2012-05-25,1424500.47,1281373.8,41,backtest
2012-06-01,1374891.36,1300044.9,41,backtest
2012-06-08,1436383.84,1339131.6,41,backtest
2012-06-15,1384584.59,1321386.6,41,backtest
2012-06-22,1386407.17,1309096.0,41,backtest
2012-06-29,1355600.01,1319298.0,41,backtest
2012-07-06,1456300.89,1268840.5,41,backtest
2012-07-13,1332594.07,1325739.6,41,backtest
2012-07-20,1347175.93,1321171.0,41,backtest
2012-07-27,1344723.97,1298423.4,41,backtest
2012-08-03,1439607.35,1277234.4,41,backtest
2012-08-10,1504545.94,1312230.9,41,backtest
2012-08-17,1560590.05,1296641.6,41,backtest
2012-08-24,1464462.85,1311499.0,41,backtest
2012-08-31,1360517.52,1286899.6,41,backtest
2012-09-07,1392143.82,1291604.4,41,backtest
2012-09-14,1306644.25,1265095.1,41,backtest
2012-09-21,1276609.36,1259609.5,41,backtest
2012-09-28,1307928.01,1278490.8,41,backtest
2012-10-05,1400160.95,1259403.0,41,backtest
2012-10-12,1409544.97,1304775.6,41,backtest
2012-10-19,1326197.24,1288147.5,41,backtest
2012-10-26,1316542.59,1282184.5,41,backtest
2012-11-04,,1270089.9,41,future
2012-11-11,,1273151.5,41,future
2012-11-18,,1270897.0,41,future
2012-11-25,,1646550.2,41,future
2012-12-02,,1645863.9,41,future
2012-12-09,,1512409.4,41,future
2012-12-16,,1512548.4,41,future
2012-12-23,,2205306.8,41,future
2012-12-30,,1290300.2,41,future
2013-01-06,,1256822.0,41,future
2013-01-13,,1287011.5,41,future
2013-01-20,,1249774.4,41,future
