date,actual_revenue,forecast_revenue,store,type
2012-05-04,697645.32,723088.0,21,backtest
2012-05-11,649945.54,720882.25,21,backtest
2012-05-18,700554.16,725466.1,21,backtest
2012-05-25,722891.24,718963.7,21,backtest
2012-06-01,695439.83,718215.5,21,backtest
2012-06-08,707895.72,716786.44,21,backtest
2012-06-15,727049.04,718690.9,21,backtest
2012-06-22,735870.0,716625.75,21,backtest
2012-06-29,716341.39,745664.1,21,backtest
2012-07-06,693013.59,734463.6,21,backtest
2012-07-13,668132.36,718072.9,21,backtest
2012-07-20,691200.33,739800.56,21,backtest
2012-07-27,677789.14,739300.75,21,backtest
2012-08-03,693785.85,732996.7,21,backtest
2012-08-10,700272.01,736989.7,21,backtest
2012-08-17,751963.81,756524.56,21,backtest
2012-08-24,802003.61,756754.3,21,backtest
2012-08-31,763867.59,770068.06,21,backtest
2012-09-07,642827.29,744974.9,21,backtest
2012-09-14,628494.63,702115.6,21,backtest
2012-09-21,667151.46,703963.6,21,backtest
2012-09-28,647097.65,691436.0,21,backtest
2012-10-05,651768.91,706050.7,21,backtest
2012-10-12,653043.44,725587.3,21,backtest
2012-10-19,641368.14,726227.06,21,backtest
2012-10-26,675202.87,716593.94,21,backtest
2012-11-04,,731114.56,21,future
2012-11-11,,704051.94,21,future
2012-11-18,,718543.8,21,future
2012-11-25,,1111018.8,21,future
2012-12-02,,1104325.0,21,future
2012-12-09,,1102956.9,21,future
2012-12-16,,1102827.6,21,future
2012-12-23,,1392537.5,21,future
2012-12-30,,994746.7,21,future
2013-01-06,,665102.5,21,future
2013-01-13,,675869.0,21,future
2013-01-20,,690505.06,21,future
