date,actual_revenue,forecast_revenue,store,type
2012-05-04,312467.52,328253.4,36,backtest
2012-05-11,330518.34,332326.53,36,backtest
2012-05-18,324801.13,334516.34,36,backtest
2012-05-25,306098.17,314390.94,36,backtest
2012-06-01,306005.53,323544.38,36,backtest
2012-06-08,338273.38,336179.53,36,backtest
2012-06-15,333146.88,337385.75,36,backtest
2012-06-22,306411.01,320479.6,36,backtest
2012-06-29,291530.43,315884.53,36,backtest
2012-07-06,306578.89,335044.5,36,backtest
2012-07-13,298337.41,338574.97,36,backtest
2012-07-20,303289.55,328309.2,36,backtest
2012-07-27,279643.43,327723.38,36,backtest
2012-08-03,304989.97,331782.8,36,backtest
2012-08-10,298947.51,326710.44,36,backtest
2012-08-17,314607.22,333085.38,36,backtest
2012-08-24,282545.55,323834.38,36,backtest
2012-08-31,282647.48,327217.66,36,backtest
2012-09-07,293728.57,325574.72,36,backtest
2012-09-14,301893.63,332767.16,36,backtest
2012-09-21,293804.45,327890.88,36,backtest
2012-09-28,270677.98,327429.25,36,backtest
2012-10-05,277137.86,327563.16,36,backtest
2012-10-12,300236.85,333155.25,36,backtest
2012-10-19,287360.05,327563.16,36,backtest
2012-10-26,272489.41,327349.88,36,backtest
2012-11-04,,343600.12,36,future
2012-11-11,,335641.2,36,future
2012-11-18,,335458.25,36,future
2012-11-25,,335458.25,36,future
2012-12-02,,322719.0,36,future
2012-12-09,,315227.75,36,future
2012-12-16,,327748.1,36,future
2012-12-23,,331039.75,36,future
2012-12-30,,323727.44,36,future
2013-01-06,,313232.25,36,future
2013-01-13,,331884.8,36,future
2013-01-20,,333126.53,36,future
