date,actual_revenue,forecast_revenue,store,type
2012-05-04,637964.2,612355.0,43,backtest
2012-05-11,640159.04,642853.4,43,backtest
2012-05-18,648541.81,618736.1,43,backtest
2012-05-25,597406.39,594991.56,43,backtest
2012-06-01,605078.62,610178.06,43,backtest
2012-06-08,643032.51,611894.94,43,backtest
2012-06-15,634815.1,612052.25,43,backtest
2012-06-22,613270.79,604709.7,43,backtest
2012-06-29,593128.13,602688.2,43,backtest
2012-07-06,645618.59,614117.1,43,backtest
2012-07-13,627634.04,617933.44,43,backtest
2012-07-20,596554.05,624970.6,43,backtest
2012-07-27,572447.52,587772.75,43,backtest
2012-08-03,614378.94,612049.1,43,backtest
2012-08-10,643558.78,598779.4,43,backtest
2012-08-17,640210.85,591796.3,43,backtest
2012-08-24,598234.64,592254.06,43,backtest
2012-08-31,593141.29,600801.6,43,backtest
2012-09-07,663814.18,626577.3,43,backtest
2012-09-14,625196.94,619910.7,43,backtest
2012-09-21,601990.02,622522.25,43,backtest
2012-09-28,577792.32,580882.75,43,backtest
2012-10-05,642614.89,632975.06,43,backtest
2012-10-12,619369.72,626393.4,43,backtest
2012-10-19,623919.23,624051.2,43,backtest
2012-10-26,587603.55,580798.0,43,backtest
2012-11-04,,642801.6,43,future
2012-11-11,,632692.3,43,future
2012-11-18,,632166.5,43,future
2012-11-25,,633788.5,43,future
2012-12-02,,634575.0,43,future
2012-12-09,,633704.44,43,future
2012-12-16,,633704.44,43,future
2012-12-23,,635200.44,43,future
2012-12-30,,631060.3,43,future
2013-01-06,,648093.06,43,future
2013-01-13,,647671.5,43,future
2013-01-20,,643502.0,43,future
