date,actual_revenue,forecast_revenue,store,type
2012-05-04,426959.62,415698.88,16,backtest
2012-05-11,479855.0,424031.75,16,backtest
2012-05-18,493506.47,488825.75,16,backtest
2012-05-25,518045.09,486227.12,16,backtest
2012-06-01,532311.93,545587.4,16,backtest
2012-06-08,603618.89,595475.56,16,backtest
2012-06-15,570045.79,594037.06,16,backtest
2012-06-22,581745.72,577558.44,16,backtest
2012-06-29,570162.28,587303.06,16,backtest
2012-07-06,641763.53,592396.6,16,backtest
2012-07-13,569005.06,605397.25,16,backtest
2012-07-20,565297.54,581220.7,16,backtest
2012-07-27,539337.87,595089.6,16,backtest
2012-08-03,584000.71,578847.1,16,backtest
2012-08-10,554036.84,561533.3,16,backtest
2012-08-17,521896.6,547346.3,16,backtest
2012-08-24,551152.15,566959.44,16,backtest
2012-08-31,551837.31,573281.1,16,backtest
2012-09-07,537138.58,561211.75,16,backtest
2012-09-14,526525.16,541371.8,16,backtest
2012-09-21,509942.56,540996.4,16,backtest
2012-09-28,469607.73,485184.47,16,backtest
2012-10-05,471281.68,500401.8,16,backtest
2012-10-12,491817.19,507515.9,16,backtest
2012-10-19,577198.97,511448.66,16,backtest
2012-10-26,475770.14,521180.28,16,backtest
2012-11-04,,525715.1,16,future
2012-11-11,,525715.1,16,future
2012-11-18,,524561.3,16,future
2012-11-25,,631486.75,16,future
2012-12-02,,619325.44,16,future
2012-12-09,,622711.8,16,future
2012-12-16,,699600.1,16,future
2012-12-23,,1002369.06,16,future
2012-12-30,,1002369.06,16,future
2013-01-06,,547337.56,16,future
2013-01-13,,529608.06,16,future
2013-01-20,,523474.25,16,future
