date,actual_revenue,forecast_revenue,store,type
2012-05-04,1005083.31,948447.9,22,backtest
2012-05-11,997868.63,956056.2,22,backtest
2012-05-18,986612.02,962209.3,22,backtest
2012-05-25,1047297.38,998774.94,22,backtest
2012-06-01,1102857.37,1052743.1,22,backtest
2012-06-08,1061134.37,1009973.7,22,backtest
2012-06-15,1061219.19,1004023.94,22,backtest
2012-06-22,1112449.3,1030466.3,22,backtest
2012-06-29,1053881.78,1053336.8,22,backtest
2012-07-06,1097786.14,1014664.7,22,backtest
2012-07-13,971361.38,992526.7,22,backtest
2012-07-20,991969.37,982838.3,22,backtest
2012-07-27,925731.21,979253.2,22,backtest
2012-08-03,1007257.83,969194.8,22,backtest
2012-08-10,973812.79,957637.56,22,backtest
2012-08-17,981273.26,982691.4,22,backtest
2012-08-24,1060906.75,1048858.0,22,backtest
2012-08-31,1022270.86,1008242.6,22,backtest
2012-09-07,996628.8,996301.6,22,backtest
2012-09-14,918049.28,950496.7,22,backtest
2012-09-21,921612.53,957126.6,22,backtest
2012-09-28,976479.51,949302.4,22,backtest
2012-10-05,1009887.36,992189.7,22,backtest
2012-10-12,1004039.84,974568.3,22,backtest
2012-10-19,978027.95,945243.94,22,backtest
2012-10-26,1094422.69,1059862.2,22,backtest
2012-11-04,,1009813.94,22,future
2012-11-11,,1009351.6,22,future
2012-11-18,,1005037.5,22,future
2012-11-25,,1431585.8,22,future
2012-12-02,,1421843.9,22,future
2012-12-09,,1401215.2,22,future
2012-12-16,,1401215.2,22,future
2012-12-23,,1809724.2,22,future
2012-12-30,,1186024.5,22,future
2013-01-06,,868460.1,22,future
2013-01-13,,887890.25,22,future
2013-01-20,,865939.5,22,future
