date,actual_revenue,forecast_revenue,store,type
2012-05-04,930121.14,982388.44,17,backtest
2012-05-11,944100.3,890444.0,17,backtest
2012-05-18,968816.33,906814.7,17,backtest
2012-05-25,984881.59,957357.8,17,backtest
2012-06-01,938914.28,986066.9,17,backtest
2012-06-08,987990.24,989977.44,17,backtest
2012-06-15,964169.67,903423.94,17,backtest
2012-06-22,981210.57,1019116.1,17,backtest
2012-06-29,982322.24,944513.1,17,backtest
2012-07-06,1046782.52,1008329.8,17,backtest
2012-07-13,960746.04,917266.2,17,backtest
2012-07-20,944698.7,916828.9,17,backtest
2012-07-27,907493.24,888291.4,17,backtest
2012-08-03,877813.33,880148.1,17,backtest
2012-08-10,849074.04,882670.0,17,backtest
2012-08-17,844928.17,871465.8,17,backtest
2012-08-24,924299.78,877112.9,17,backtest
2012-08-31,865924.2,954988.6,17,backtest
2012-09-07,1255633.29,1098295.5,17,backtest
2012-09-14,1071040.22,904640.5,17,backtest
2012-09-21,938303.28,885804.4,17,backtest
2012-09-28,972716.24,890538.7,17,backtest
2012-10-05,952609.17,895896.06,17,backtest
2012-10-12,919878.34,903473.2,17,backtest
2012-10-19,957356.84,890921.3,17,backtest
2012-10-26,943465.29,929406.2,17,backtest
2012-11-04,,886618.2,17,future
2012-11-11,,891996.2,17,future
2012-11-18,,888174.06,17,future
2012-11-25,,934399.0,17,future
2012-12-02,,948530.06,17,future
2012-12-09,,945958.25,17,future
2012-12-16,,964920.8,17,future
2012-12-23,,1047852.9,17,future
2012-12-30,,811183.25,17,future
2013-01-06,,1100889.1,17,future
2013-01-13,,896433.2,17,future
2013-01-20,,872347.56,17,future
