date,actual_revenue,forecast_revenue,store,type
2012-05-04,360932.69,348682.25,5,backtest
2012-05-11,333870.52,346715.5,5,backtest
2012-05-18,336189.66,375895.78,5,backtest
2012-05-25,341994.48,348507.8,5,backtest
2012-06-01,359867.8,348926.38,5,backtest
2012-06-08,341704.59,339085.84,5,backtest
2012-06-15,327383.64,338900.3,5,backtest
2012-06-22,325041.68,339062.4,5,backtest
2012-06-29,329658.1,338312.16,5,backtest
2012-07-06,341214.43,336994.72,5,backtest
2012-07-13,316203.64,336655.34,5,backtest
2012-07-20,321205.12,336634.94,5,backtest
2012-07-27,306827.36,351903.06,5,backtest
2012-08-03,324195.17,352791.97,5,backtest
2012-08-10,306759.7,348619.6,5,backtest
2012-08-17,314014.18,346317.1,5,backtest
2012-08-24,320831.36,349311.66,5,backtest
2012-08-31,344642.01,350471.56,5,backtest
2012-09-07,350648.91,348662.7,5,backtest
2012-09-14,299800.67,333716.28,5,backtest
2012-09-21,307306.76,334258.56,5,backtest
2012-09-28,310141.68,350376.28,5,backtest
2012-10-05,343048.29,350186.97,5,backtest
2012-10-12,325345.41,335440.4,5,backtest
2012-10-19,313358.15,324516.34,5,backtest
2012-10-26,319550.77,345443.66,5,backtest
2012-11-04,,355212.28,5,future
2012-11-11,,355418.0,5,future
2012-11-18,,341173.88,5,future
2012-11-25,,498266.1,5,future
2012-12-02,,429697.97,5,future
2012-12-09,,428080.44,5,future
2012-12-16,,428116.9,5,future
2012-12-23,,428080.44,5,future
2012-12-30,,428080.44,5,future
2013-01-06,,338540.78,5,future
2013-01-13,,338515.06,5,future
2013-01-20,,338774.8,5,future
