date,actual_revenue,forecast_revenue,store,type
2012-05-04,991104.4,991952.1,34,backtest
2012-05-11,949625.52,1006922.75,34,backtest
2012-05-18,998672.85,946018.7,34,backtest
2012-05-25,1015737.61,942540.44,34,backtest
2012-06-01,977062.44,938910.6,34,backtest
2012-06-08,999511.29,958020.5,34,backtest
2012-06-15,982345.51,944216.56,34,backtest
2012-06-22,1000285.1,951165.2,34,backtest
2012-06-29,942970.63,965286.7,34,backtest
2012-07-06,1007867.68,938311.9,34,backtest
2012-07-13,954677.75,988508.06,34,backtest
2012-07-20,950929.59,949077.44,34,backtest
2012-07-27,917883.79,935218.8,34,backtest
2012-08-03,973250.41,930902.5,34,backtest
2012-08-10,1004523.59,966348.0,34,backtest
2012-08-17,1013820.86,950317.06,34,backtest
2012-08-24,926250.21,940760.7,34,backtest
2012-08-31,933487.71,935837.9,34,backtest
2012-09-07,976415.56,980937.0,34,backtest
2012-09-14,955211.7,970272.7,34,backtest
2012-09-21,943047.78,935985.94,34,backtest
2012-09-28,928629.31,951566.56,34,backtest
2012-10-05,968896.68,973819.94,34,backtest
2012-10-12,948613.39,969046.25,34,backtest
2012-10-19,963516.28,952927.8,34,backtest
2012-10-26,956987.81,945550.0,34,backtest
2012-11-04,,955317.44,34,future
2012-11-11,,961022.0,34,future
2012-11-18,,954070.0,34,future
2012-11-25,,1237776.2,34,future
2012-12-02,,1167415.2,34,future
2012-12-09,,1038105.5,34,future
2012-12-16,,1100622.0,34,future
2012-12-23,,1582743.2,34,future
2012-12-30,,1332635.6,34,future
2013-01-06,,938909.8,34,future
2013-01-13,,979581.06,34,future
2013-01-20,,982467.2,34,future
